cohort_month,months_since_signup,cohort_revenue,cohort_size,ltv_per_user
2010-12,0,91649.62,292,313.87
2010-12,2,10270.21,292,35.17
2010-12,3,16591.32,292,56.82
2010-12,4,13104.76,292,44.88
2010-12,5,12113.46,292,41.48
2010-12,6,10940.13,292,37.47
2010-12,7,9087.08,292,31.12
2010-12,8,14001.83,292,47.95
2010-12,9,10969.22,292,37.57
2010-12,12,5912.51,292,20.25
2011-01,-1,309773.97,783,395.62
2011-01,0,475074.38,783,606.74
2011-01,1,222645.04,783,284.35
2011-01,2,296835.04,783,379.1
2011-01,3,183125.42,783,233.88
2011-01,4,320533.56,783,409.37
2011-01,5,301701.53,783,385.31
2011-01,6,296254.98,783,378.36
2011-01,7,298359.47,783,381.05
2011-01,8,407978.04,783,521.04
2011-01,9,363013.84,783,463.62
2011-01,10,477770.82,783,610.18
2011-01,11,157309.31,783,200.91
2011-02,0,71840.52,199,361.01
2011-02,1,8110.2,199,40.75
2011-02,2,9057.09,199,45.51
2011-02,3,11473.23,199,57.65
2011-02,4,9472.65,199,47.6
2011-02,5,8049.84,199,40.45
2011-02,6,12338.57,199,62
2011-02,7,15829.87,199,79.55
2011-03,0,89950.28,248,362.7
2011-03,1,5798.38,248,23.38
2011-03,2,15875.17,248,64.01
2011-03,3,8571.53,248,34.56
2011-03,4,10279.37,248,41.45
2011-03,5,7393.7,248,29.81
2011-03,6,21554.33,248,86.91
2011-04,0,61804.35,175,353.17
2011-04,1,10757.53,175,61.47
2011-04,2,12270.42,175,70.12
2011-04,3,8614.86,175,49.23
2011-04,4,12070.41,175,68.97
2011-04,5,7501.41,175,42.87
2011-05,0,66944.31,153,437.54
2011-05,1,8085.81,153,52.85
2011-05,2,7503.53,153,49.04
2011-05,3,6822.41,153,44.59
2011-05,4,11042.83,153,72.18
2011-06,0,43090.34,124,347.5
2011-06,1,4150.21,124,33.47
2011-06,2,2190.41,124,17.66
2011-06,3,9891.34,124,79.77
2011-07,0,34136.07,110,310.33
2011-07,1,4798.23,110,43.62
2011-07,2,3882.75,110,35.3
2011-08,0,44615.61,92,484.95
2011-08,1,5002.27,92,54.37
2011-09,0,77637.04,153,507.43
2011-10,-10,101910.16,1085,93.93
2011-10,-8,93215.36,1085,85.91
2011-10,-7,108328.31,1085,99.84
2011-10,-6,108652.23,1085,100.14
2011-10,-5,139399.41,1085,128.48
2011-10,-4,146330.34,1085,134.87
2011-10,-3,136290.07,1085,125.61
2011-10,-2,147951.8,1085,136.36
2011-10,-1,245847.93,1085,226.59
2011-10,0,611589.75,1085,563.68
2011-10,1,291981.96,1085,269.11
2011-10,2,100892.55,1085,92.99
2011-11,-11,50276.23,845,59.5
2011-11,-9,34909.13,845,41.31
2011-11,-8,54782.18,845,64.83
2011-11,-7,39698.61,845,46.98
2011-11,-6,64656.12,845,76.52
2011-11,-5,59529.05,845,70.45
2011-11,-4,53174.26,845,62.93
2011-11,-3,59133.81,845,69.98
2011-11,-2,105963.85,845,125.4
2011-11,0,362654.96,845,429.18
2011-11,1,30879.2,845,36.54
2011-12,-12,994.04,113,8.8
2011-12,-10,3665.89,113,32.44
2011-12,-9,5367.28,113,47.5
2011-12,-8,4807.01,113,42.54
2011-12,-7,6498.29,113,57.51
2011-12,-6,8021.36,113,70.99
2011-12,-5,6698.21,113,59.28
2011-12,-4,6691.75,113,59.22
2011-12,-3,8339.49,113,73.8
2011-12,0,47512.81,113,420.47
